"","Site","ID","SPP","Sens","DBH","CC","BA","SWA","SWD","Multiplier","flux.mean","flow.mean","flow.time","colvec","ba.norm"
"S4","WCR",624,"ACSA",4,14.1,"S",156.144876975,74.6514344454281,1.95684868406065,1,9.00555845735884e-06,5.55676637701364,0.000365472861851692,"orange",0.0355872474631577
"S12","WCR",134,"ACSA",12,15,"I",176.7144375,84.8522768469715,2.09253676844768,0.984117714,1.16446380861139e-05,8.45622866935686,0.000532145859414723,"orange",0.0478525059354975
"S13","WCR",631,"ACSA",13,21.9,"I",376.684494975,185.726515895857,3.15359929656626,0.861119591,1.70786434329912e-05,23.3738748067793,0.00153620431271587,"orange",0.0620515978719288
"S5","WCR",97,"ACSA",5,27.5,"C",593.956859375,297.559123144441,4.03679201418578,0.801445149,2.12978533185674e-05,42.0631933386122,0.00270166067074351,"orange",0.0708186001637792
"S6","WCR",98,"ACSA",6,31.1,"C",759.644315975,383.856235028591,4.61303687893338,0.741673419,1.05526909263417e-05,26.3809290952307,0.00166089306533678,"orange",0.0347280016982302
"S9","WCR",123,"FRPE",9,28.2,"C",624.5795079,81.128,0.947580688664358,0.536607346,1.33895588171047e-06,0.506558903364234,2.59308586937459e-05,"darkolivegreen3",0.000811039902777819
"S10","WCR",114,"FRPE",10,31.4,"C",774.3705191,91.496,0.956666114692782,0.51229381,1.44056767392566e-06,0.577200239432016,3.00790853197794e-05,"darkolivegreen3",0.000745379924978107
"S14","WCR",2926,"OSVI",14,5.3,"S",22.061815775,9.84930631058366,0.678359621747861,1,1.49874905719477e-05,1.28523796191535,7.48405281288074e-05,"dark red",0.0582562185734394
"S3","WCR",621,"OSVI",3,5.4,"S",22.9021911,10.2378715618433,0.692219754111728,1,1.29786837013929e-05,1.18275379087009,6.30758289596446e-05,"dark red",0.0516436958239378
"S7","WCR",625,"OSVI",7,14.5,"I",165.129824375,79.1017986252509,2.01706638538655,0.996980212,7.71365764862903e-06,5.15715138477684,0.000306620289218652,"dark red",0.0312308900242349
"S11","WCR",2508,"TIAM",11,7.1,"S",39.591887975,29.9668656356982,1.79964507794217,1,1.46694547870398e-05,3.64116172739156,0.000243335219877029,"yellow",0.0919673679035146
"S8","WCR",2507,"TIAM",8,7.4,"S",43.0083671,32.375432411106,1.86027961650515,1,1.09296440095103e-05,2.84592942476914,0.000208074175921257,"yellow",0.0661715293247936
"S1","WCR",2505,"TIAM",1,35.8,"C",1006.5968519,615.381192347235,6.74079226603479,0.802959462,1.14977471037473e-05,48.5395981528632,0.00256159396732742,"yellow",0.0482214881372243
"S2","WCR",2506,"TIAM",2,38.5,"C",1164.155444375,704.90626082446,7.15935573172206,0.755731393,1.03509433135135e-05,47.8116243547762,0.00282118013050428,"yellow",0.0410697940604013
